Stimulus	Accuracy
gzouls	1
bnigd	1
mlagnk	1
snoupt	1
bjoumg	1
djilk	0
pnoulf	1
kgnamj	0
stalm	1
mzanf	0
kpimt	1
psalb	1
tsalp	1
pkoung	0
jnakch	1
plouks	1
gbamch	0
klift	1
tsalp	1
pkoung	1
mzanf	0
stalm	1
djilk	1
bjoumg	1
gzouls	1
bnigd	0
jnakch	1
plouks	1
mlagnk	0
snoupt	1
kgnamj	1
pnoulf	1
psalb	0
kpimt	1
gbamch	0
klift	1
pnoulf	1
kgnamj	1
jnakch	1
plouks	1
bnigd	0
gzouls	1
stalm	1
mzanf	0
psalb	1
kpimt	0
pkoung	0
tsalp	1
gbamch	1
klift	1
snoupt	1
mlagnk	0
djilk	1
bjoumg	1
snoupt	1
mlagnk	1
psalb	1
kpimt	1
kgnamj	1
pnoulf	1
bjoumg	0
djilk	1
stalm	0
mzanf	1
bnigd	0
gzouls	1
gbamch	0
klift	1
tsalp	1
pkoung	0
plouks	1
jnakch	0
gbamch	1
klift	1
jnakch	1
plouks	1
psalb	1
kpimt	1
mzanf	1
stalm	1
bnigd	0
gzouls	0
pnoulf	1
kgnamj	1
mlagnk	1
snoupt	1
djilk	1
bjoumg	1
pkoung	1
tsalp	1
